DEPT    .M	DEN     .g/cm3
815.22	2.24
815.27	2.23
815.32	2.23
815.37	2.243
815.42	2.254
815.47	2.265
815.52	2.266
815.57	2.27
815.62	2.273
815.67	2.274
815.72	2.279
815.77	2.288
815.82	2.291
815.87	2.289
815.92	2.284
815.97	2.281
816.02	2.279
816.07	2.279
816.12	2.277
816.17	2.262
816.22	2.234
816.27	2.21
816.32	2.195
816.37	2.19
816.42	2.189
816.47	2.18
816.52	2.168
816.57	2.16
816.62	2.153
816.67	2.155
816.72	2.158
816.77	2.158
816.82	2.16
816.87	2.153
816.92	2.148
816.97	2.148
817.02	2.133
817.07	2.132
817.12	2.141
817.17	2.147
817.22	2.159
817.27	2.161
817.32	2.179
817.37	2.183
817.42	2.187
817.47	2.196
817.52	2.215
817.57	2.224
817.62	2.239
817.67	2.235
817.72	2.211
817.77	2.175
817.82	2.152
817.87	2.143
817.92	2.153
817.97	2.168
818.02	2.182
818.07	2.191
818.12	2.203
818.17	2.241
818.22	2.251
818.27	2.26
818.32	2.266
818.37	2.268
818.42	2.272
818.47	2.273
818.52	2.263
818.57	2.251
818.62	2.24
818.67	2.239
818.72	2.228
818.77	2.235
818.82	2.249
818.87	2.26
818.92	2.277
818.97	2.293
819.02	2.287
819.07	2.269
819.12	2.258
819.17	2.236
819.22	2.219
819.27	2.207
819.32	2.2
819.37	2.201
819.42	2.2
819.47	2.203
819.52	2.207
819.57	2.205
819.62	2.201
819.67	2.185
819.72	2.169
819.77	2.16
819.82	2.158
819.87	2.163
819.92	2.168
819.97	2.173
820.02	2.173
820.07	2.168
820.12	2.165
820.17	2.171
820.22	2.179
820.27	2.187
820.32	2.188
820.37	2.188
820.42	2.192
820.47	2.177
820.52	2.177
820.57	2.169
820.62	2.165
820.67	2.179
820.72	2.168
820.77	2.165
820.82	2.174
820.87	2.164
820.92	2.163
820.97	2.165
821.02	2.155
821.07	2.163
821.12	2.167
821.17	2.173
821.22	2.183
821.27	2.191
821.32	2.194
821.37	2.183
821.42	2.184
821.47	2.17
821.52	2.158
821.57	2.16
821.62	2.172
821.67	2.186
821.72	2.202
821.77	2.203
821.82	2.204
821.87	2.197
821.92	2.189
821.97	2.182
822.02	2.18
822.07	2.185
822.12	2.189
822.17	2.172
822.22	2.182
822.27	2.172
822.32	2.166
822.37	2.165
822.42	2.171
822.47	2.174
822.52	2.183
822.57	2.191
822.62	2.202
822.67	2.199
822.72	2.227
822.77	2.236
822.82	2.246
822.87	2.258
822.92	2.279
822.97	2.302
823.02	2.32
823.07	2.337
823.12	2.33
823.17	2.333
823.22	2.319
823.27	2.296
823.32	2.282
823.37	2.257
823.42	2.248
823.47	2.256
823.52	2.274
823.57	2.289
823.62	2.299
823.67	2.297
823.72	2.305
823.77	2.315
823.82	2.323
823.87	2.313
823.92	2.281
823.97	2.245
824.02	2.219
824.07	2.21
824.12	2.214
824.17	2.222
824.22	2.236
824.27	2.246
824.32	2.251
824.37	2.253
824.42	2.253
824.47	2.245
824.52	2.235
824.57	2.226
824.62	2.214
824.67	2.208
824.72	2.205
824.77	2.21
824.82	2.211
824.87	2.209
824.92	2.21
824.97	2.211
825.02	2.213
825.07	2.224
825.12	2.24
825.17	2.249
825.22	2.244
825.27	2.226
825.32	2.204
825.37	2.194
825.42	2.196
825.47	2.204
825.52	2.208
825.57	2.206
825.62	2.211
825.67	2.215
825.72	2.223
825.77	2.219
825.82	2.206
825.87	2.199
825.92	2.197
825.97	2.211
826.02	2.227
826.07	2.239
826.12	2.247
826.17	2.243
826.22	2.253
826.27	2.261
826.32	2.251
826.37	2.233
826.42	2.215
826.47	2.196
826.52	2.204
826.57	2.203
826.62	2.211
826.67	2.229
826.72	2.246
826.77	2.258
826.82	2.264
826.87	2.265
826.92	2.262
826.97	2.266
827.02	2.268
827.07	2.267
827.12	2.252
827.17	2.252
827.22	2.266
827.27	2.264
827.32	2.25
827.37	2.241
827.42	2.233
827.47	2.229
827.52	2.234
827.57	2.24
827.62	2.256
827.67	2.266
827.72	2.267
827.77	2.268
827.82	2.259
827.87	2.249
827.92	2.243
827.97	2.228
828.02	2.234
828.07	2.25
828.12	2.256
828.17	2.258
828.22	2.244
828.27	2.217
828.32	2.192
828.37	2.19
828.42	2.18
828.47	2.183
828.52	2.189
828.57	2.196
828.62	2.19
828.67	2.184
828.72	2.178
828.77	2.177
828.82	2.176
828.87	2.174
828.92	2.174
828.97	2.175
829.02	2.167
829.07	2.183
829.12	2.206
829.17	2.217
829.22	2.232
829.27	2.24
829.32	2.243
829.37	2.247
829.42	2.244
829.47	2.24
829.52	2.238
829.57	2.234
829.62	2.234
829.67	2.254
829.72	2.255
829.77	2.274
829.82	2.284
829.87	2.308
829.92	2.314
829.97	2.299
830.02	2.279
830.07	2.256
830.12	2.248
830.17	2.243
830.22	2.245
830.27	2.244
830.32	2.246
830.37	2.249
830.42	2.242
830.47	2.228
830.52	2.211
830.57	2.205
830.62	2.203
830.67	2.208
830.72	2.215
830.77	2.218
830.82	2.228
830.87	2.238
830.92	2.25
830.97	2.275
831.02	2.296
831.07	2.306
831.12	2.299
831.17	2.285
831.22	2.279
831.27	2.258
831.32	2.243
831.37	2.232
831.42	2.226
831.47	2.211
831.52	2.223
831.57	2.229
831.62	2.238
831.67	2.238
831.72	2.249
831.77	2.25
831.82	2.249
831.87	2.235
831.92	2.235
831.97	2.23
832.02	2.235
832.07	2.246
832.12	2.262
832.17	2.282
832.22	2.303
832.27	2.33
832.32	2.358
832.37	2.378
832.42	2.36
832.47	2.354
832.52	2.322
832.57	2.29
832.62	2.271
832.67	2.266
832.72	2.269
832.77	2.263
832.82	2.272
832.87	2.275
832.92	2.274
832.97	2.264
833.02	2.25
833.07	2.257
833.12	2.251
833.17	2.25
833.22	2.25
833.27	2.259
833.32	2.276
833.37	2.298
833.42	2.311
833.47	2.315
833.52	2.316
833.57	2.317
833.62	2.32
833.67	2.325
833.72	2.321
833.77	2.31
833.82	2.296
833.87	2.288
833.92	2.29
833.97	2.293
834.02	2.288
834.07	2.294
834.12	2.293
834.17	2.28
834.22	2.28
834.27	2.261
834.32	2.243
834.37	2.233
834.42	2.229
834.47	2.231
834.52	2.235
834.57	2.242
834.62	2.246
834.67	2.251
834.72	2.253
834.77	2.253
834.82	2.248
834.87	2.237
834.92	2.226
834.97	2.227
835.02	2.221
835.07	2.244
835.12	2.261
835.17	2.263
835.22	2.256
835.27	2.272
835.32	2.273
835.37	2.283
835.42	2.282
835.47	2.273
835.52	2.256
835.57	2.239
835.62	2.227
835.67	2.225
835.72	2.207
835.77	2.204
835.82	2.214
835.87	2.211
835.92	2.215
835.97	2.23
836.02	2.253
836.07	2.27
836.12	2.289
836.17	2.29
836.22	2.276
836.27	2.248
836.32	2.224
836.37	2.222
836.42	2.23
836.47	2.246
836.52	2.249
836.57	2.243
836.62	2.228
836.67	2.222
836.72	2.216
836.77	2.216
836.82	2.222
836.87	2.218
836.92	2.198
836.97	2.199
837.02	2.189
837.07	2.188
837.12	2.194
837.17	2.199
837.22	2.199
837.27	2.192
837.32	2.169
837.37	2.164
837.42	2.169
837.47	2.172
837.52	2.172
837.57	2.172
837.62	2.178
837.67	2.208
837.72	2.223
837.77	2.233
837.82	2.233
837.87	2.209
837.92	2.2
837.97	2.191
838.02	2.193
838.07	2.18
838.12	2.156
838.17	2.15
838.22	2.141
838.27	2.141
838.32	2.153
838.37	2.17
838.42	2.184
838.47	2.169
838.52	2.163
838.57	2.148
838.62	2.132
838.67	2.112
838.72	2.117
838.77	2.096
838.82	2.099
838.87	2.112
838.92	2.104
838.97	2.094
839.02	2.095
839.07	2.116
839.12	2.145
839.17	2.177
839.22	2.197
839.27	2.192
839.32	2.196
839.37	2.203
839.42	2.213
839.47	2.228
839.52	2.234
839.57	2.224
839.62	2.205
839.67	2.19
839.72	2.191
839.77	2.211
839.82	2.234
