DEPT    .M	DEN     .g/cm3
882.37	2.201
882.42	2.193
882.47	2.189
882.52	2.189
882.57	2.198
882.62	2.212
882.67	2.223
882.72	2.223
882.77	2.216
882.82	2.192
882.87	2.162
882.92	2.131
882.97	2.108
883.02	2.108
883.07	2.113
883.12	2.129
883.17	2.139
883.22	2.152
883.27	2.163
883.32	2.182
883.37	2.196
883.42	2.201
883.47	2.201
883.52	2.2
883.57	2.191
883.62	2.185
883.67	2.181
883.72	2.179
883.77	2.177
883.82	2.174
883.87	2.17
883.92	2.165
883.97	2.165
884.02	2.16
884.07	2.159
884.12	2.155
884.17	2.161
884.22	2.169
884.27	2.177
884.32	2.185
884.37	2.192
884.42	2.198
884.47	2.205
884.52	2.217
884.57	2.227
884.62	2.238
884.67	2.241
884.72	2.244
884.77	2.241
884.82	2.235
884.87	2.234
884.92	2.237
884.97	2.245
885.02	2.25
885.07	2.242
885.12	2.229
885.17	2.209
885.22	2.192
885.27	2.19
885.32	2.191
885.37	2.192
885.42	2.188
885.47	2.187
885.52	2.185
885.57	2.189
885.62	2.194
885.67	2.201
885.72	2.209
885.77	2.22
885.82	2.229
885.87	2.229
885.92	2.229
885.97	2.222
886.02	2.213
886.07	2.205
886.12	2.197
886.17	2.199
886.22	2.209
886.27	2.218
886.32	2.223
886.37	2.224
886.42	2.219
886.47	2.22
886.52	2.214
886.57	2.204
886.62	2.189
886.67	2.172
886.72	2.156
886.77	2.156
886.82	2.165
886.87	2.177
886.92	2.182
886.97	2.177
887.02	2.168
887.07	2.156
887.12	2.149
887.17	2.143
887.22	2.144
887.27	2.145
887.32	2.144
887.37	2.146
887.42	2.155
887.47	2.165
887.52	2.18
887.57	2.189
887.62	2.197
887.67	2.197
887.72	2.199
887.77	2.195
887.82	2.195
887.87	2.195
887.92	2.19
887.97	2.186
888.02	2.182
888.07	2.182
888.12	2.185
888.17	2.19
888.22	2.198
888.27	2.2
888.32	2.202
888.37	2.205
888.42	2.206
888.47	2.204
888.52	2.199
888.57	2.192
888.62	2.183
888.67	2.185
888.72	2.186
888.77	2.187
888.82	2.195
888.87	2.198
888.92	2.197
888.97	2.195
889.02	2.194
889.07	2.194
889.12	2.203
889.17	2.21
889.22	2.213
889.27	2.214
889.32	2.215
889.37	2.217
889.42	2.221
889.47	2.226
889.52	2.233
889.57	2.237
889.62	2.241
889.67	2.239
889.72	2.235
889.77	2.227
889.82	2.216
889.87	2.211
889.92	2.212
889.97	2.223
890.02	2.246
890.07	2.268
890.12	2.29
890.17	2.316
890.22	2.338
890.27	2.353
890.32	2.342
890.37	2.334
890.42	2.322
890.47	2.31
890.52	2.306
890.57	2.307
890.62	2.303
890.67	2.283
890.72	2.265
890.77	2.249
890.82	2.258
890.87	2.258
890.92	2.24
890.97	2.239
891.02	2.231
891.07	2.227
891.12	2.23
891.17	2.243
891.22	2.242
891.27	2.234
891.32	2.229
891.37	2.236
891.42	2.242
891.47	2.249
891.52	2.242
891.57	2.231
891.62	2.214
891.67	2.193
891.72	2.18
891.77	2.172
891.82	2.181
891.87	2.192
891.92	2.201
891.97	2.201
892.02	2.189
892.07	2.171
892.12	2.156
892.17	2.148
892.22	2.146
892.27	2.147
892.32	2.147
892.37	2.146
892.42	2.16
892.47	2.179
892.52	2.208
892.57	2.233
892.62	2.255
892.67	2.264
892.72	2.276
892.77	2.288
892.82	2.306
892.87	2.324
892.92	2.33
892.97	2.319
893.02	2.292
893.07	2.258
893.12	2.228
893.17	2.191
893.22	2.148
893.27	2.112
893.32	2.086
893.37	2.082
893.42	2.089
893.47	2.101
893.52	2.116
893.57	2.137
893.62	2.17
893.67	2.201
893.72	2.226
893.77	2.254
893.82	2.281
893.87	2.323
893.92	2.367
893.97	2.398
894.02	2.407
894.07	2.397
894.12	2.389
894.17	2.384
894.22	2.395
894.27	2.406
894.32	2.434
894.37	2.465
894.42	2.482
894.47	2.463
894.52	2.437
894.57	2.404
894.62	2.368
894.67	2.344
894.72	2.33
894.77	2.321
894.82	2.314
894.87	2.305
894.92	2.306
894.97	2.292
895.02	2.277
895.07	2.266
895.12	2.26
895.17	2.264
895.22	2.261
895.27	2.27
895.32	2.278
895.37	2.27
895.42	2.273
895.47	2.254
895.52	2.245
895.57	2.215
895.62	2.199
895.67	2.202
895.72	2.22
895.77	2.247
895.82	2.25
895.87	2.251
895.92	2.227
895.97	2.213
896.02	2.173
896.07	2.142
896.12	2.124
896.17	2.121
896.22	2.14
896.27	2.169
896.32	2.208
896.37	2.222
896.42	2.252
896.47	2.278
896.52	2.299
896.57	2.317
896.62	2.327
896.67	2.342
896.72	2.363
896.77	2.378
896.82	2.388
896.87	2.389
896.92	2.375
896.97	2.359
897.02	2.355
897.07	2.35
897.12	2.332
897.17	2.304
897.22	2.279
897.27	2.265
897.32	2.269
897.37	2.263
897.42	2.276
897.47	2.285
897.52	2.304
897.57	2.334
897.62	2.358
897.67	2.38
897.72	2.391
897.77	2.384
897.82	2.374
897.87	2.368
897.92	2.364
897.97	2.362
898.02	2.351
898.07	2.327
898.12	2.311
898.17	2.292
898.22	2.283
898.27	2.27
898.32	2.267
898.37	2.273
898.42	2.282
898.47	2.29
898.52	2.289
898.57	2.277
898.62	2.266
898.67	2.26
898.72	2.262
898.77	2.25
898.82	2.264
898.87	2.26
898.92	2.259
898.97	2.247
899.02	2.26
899.07	2.266
899.12	2.272
899.17	2.278
899.22	2.278
899.27	2.278
899.32	2.289
899.37	2.282
899.42	2.277
899.47	2.277
899.52	2.279
899.57	2.281
899.62	2.282
899.67	2.278
899.72	2.274
899.77	2.268
899.82	2.279
899.87	2.305
899.92	2.334
899.97	2.354
900.02	2.357
900.07	2.342
900.12	2.315
900.17	2.288
900.22	2.26
900.27	2.245
900.32	2.225
900.37	2.226
900.42	2.23
900.47	2.225
900.52	2.222
900.57	2.211
900.62	2.197
900.67	2.196
900.72	2.176
900.77	2.155
900.82	2.142
900.87	2.14
900.92	2.145
900.97	2.166
901.02	2.189
901.07	2.22
901.12	2.248
901.17	2.269
901.22	2.274
901.27	2.271
901.32	2.245
901.37	2.204
901.42	2.179
901.47	2.148
901.52	2.128
901.57	2.116
901.62	2.101
901.67	2.09
901.72	2.082
901.77	2.094
901.82	2.121
901.87	2.152
901.92	2.177
901.97	2.189
902.02	2.192
902.07	2.201
902.12	2.202
902.17	2.229
902.22	2.246
902.27	2.249
902.32	2.244
902.37	2.247
902.42	2.266
902.47	2.285
902.52	2.305
902.57	2.326
902.62	2.338
902.67	2.356
902.72	2.384
902.77	2.4
902.82	2.373
902.87	2.353
902.92	2.302
902.97	2.258
903.02	2.229
903.07	2.215
903.12	2.207
903.17	2.206
903.22	2.207
903.27	2.206
903.32	2.202
903.37	2.192
903.42	2.168
903.47	2.138
903.52	2.11
903.57	2.086
903.62	2.071
903.67	2.069
903.72	2.073
903.77	2.085
903.82	2.103
903.87	2.122
903.92	2.139
903.97	2.156
904.02	2.173
904.07	2.184
904.12	2.198
904.17	2.198
904.22	2.207
904.27	2.224
904.32	2.237
904.37	2.251
904.42	2.256
904.47	2.261
904.52	2.27
904.57	2.277
904.62	2.293
904.67	2.3
904.72	2.301
904.77	2.293
904.82	2.283
904.87	2.276
904.92	2.281
904.97	2.276
905.02	2.279
905.07	2.273
905.12	2.258
905.17	2.266
905.22	2.262
905.27	2.258
905.32	2.26
905.37	2.255
905.42	2.249
905.47	2.244
905.52	2.237
905.57	2.234
905.62	2.231
905.67	2.226
905.72	2.218
905.77	2.207
905.82	2.171
905.87	2.156
905.92	2.129
905.97	2.096
906.02	2.086
906.07	2.072
906.12	2.081
906.17	2.101
906.22	2.136
906.27	2.171
906.32	2.197
906.37	2.216
906.42	2.218
906.47	2.221
906.52	2.224
906.57	2.233
906.62	2.247
906.67	2.262
906.72	2.271
906.77	2.264
906.82	2.26
906.87	2.25
906.92	2.251
906.97	2.263
907.02	2.272
907.07	2.277
907.12	2.269
907.17	2.252
907.22	2.242
907.27	2.235
907.32	2.238
907.37	2.251
907.42	2.264
907.47	2.27
907.52	2.264
907.57	2.255
907.62	2.244
907.67	2.232
907.72	2.222
907.77	2.216
907.82	2.215
907.87	2.205
907.92	2.209
907.97	2.207
908.02	2.197
908.07	2.187
908.12	2.18
908.17	2.175
908.22	2.172
908.27	2.174
908.32	2.181
908.37	2.188
908.42	2.198
908.47	2.208
908.52	2.219
908.57	2.227
908.62	2.223
908.67	2.206
908.72	2.217
908.77	2.221
908.82	2.23
908.87	2.247
908.92	2.269
908.97	2.289
909.02	2.309
909.07	2.32
909.12	2.322
909.17	2.315
909.22	2.299
909.27	2.275
909.32	2.248
909.37	2.225
909.42	2.21
909.47	2.194
909.52	2.179
909.57	2.166
909.62	2.161
909.67	2.168
909.72	2.177
909.77	2.189
909.82	2.195
909.87	2.194
909.92	2.183
909.97	2.177
910.02	2.168
910.07	2.159
910.12	2.16
910.17	2.169
910.22	2.185
910.27	2.194
910.32	2.2
910.37	2.195
910.42	2.184
910.47	2.171
910.52	2.167
910.57	2.176
910.62	2.194
910.67	2.206
910.72	2.217
910.77	2.227
910.82	2.237
910.87	2.248
910.92	2.258
910.97	2.263
911.02	2.262
911.07	2.262
911.12	2.26
911.17	2.256
911.22	2.245
911.27	2.237
911.32	2.226
911.37	2.213
911.42	2.201
911.47	2.186
911.52	2.171
911.57	2.158
911.62	2.144
911.67	2.126
911.72	2.115
911.77	2.103
911.82	2.102
911.87	2.115
911.92	2.136
911.97	2.163
912.02	2.194
912.07	2.219
912.12	2.238
912.17	2.234
912.22	2.243
912.27	2.243
912.32	2.235
912.37	2.227
912.42	2.218
912.47	2.207
912.52	2.201
912.57	2.196
912.62	2.195
912.67	2.186
912.72	2.179
912.77	2.167
912.82	2.162
912.87	2.176
912.92	2.195
912.97	2.213
913.02	2.219
913.07	2.21
913.12	2.18
913.17	2.157
913.22	2.119
913.27	2.073
913.32	2.038
913.37	2.005
913.42	1.988
913.47	1.974
913.52	1.976
913.57	1.983
913.62	2.003
913.67	2.026
913.72	2.056
913.77	2.096
913.82	2.135
913.87	2.177
913.92	2.205
913.97	2.22
914.02	2.217
914.07	2.208
914.12	2.2
914.17	2.2
914.22	2.198
914.27	2.204
914.32	2.205
914.37	2.223
914.42	2.244
914.47	2.272
914.52	2.291
914.57	2.294
914.62	2.286
914.67	2.281
914.72	2.284
914.77	2.303
914.82	2.322
914.87	2.345
914.92	2.353
914.97	2.359
915.02	2.372
915.07	2.39
915.12	2.402
915.17	2.386
915.22	2.359
915.27	2.335
915.32	2.306
915.37	2.3
915.42	2.307
915.47	2.318
915.52	2.323
915.57	2.321
915.62	2.315
915.67	2.317
915.72	2.313
915.77	2.309
915.82	2.294
915.87	2.286
915.92	2.278
915.97	2.27
916.02	2.257
916.07	2.252
916.12	2.253
916.17	2.247
916.22	2.256
916.27	2.248
916.32	2.236
916.37	2.242
916.42	2.25
916.47	2.26
916.52	2.286
916.57	2.301
916.62	2.296
916.67	2.296
916.72	2.285
916.77	2.285
916.82	2.295
916.87	2.313
916.92	2.328
916.97	2.335
917.02	2.331
917.07	2.323
917.12	2.317
917.17	2.317
917.22	2.33
917.27	2.346
917.32	2.357
917.37	2.355
917.42	2.342
917.47	2.337
917.52	2.343
917.57	2.359
917.62	2.374
917.67	2.373
917.72	2.363
917.77	2.348
917.82	2.339
917.87	2.338
917.92	2.337
917.97	2.329
918.02	2.32
918.07	2.319
918.12	2.338
918.17	2.367
918.22	2.391
918.27	2.401
918.32	2.393
918.37	2.375
918.42	2.36
918.47	2.341
918.52	2.32
918.57	2.294
918.62	2.274
918.67	2.258
918.72	2.261
918.77	2.272
918.82	2.295
918.87	2.307
918.92	2.34
918.97	2.367
919.02	2.391
919.07	2.404
919.12	2.407
919.17	2.398
919.22	2.371
919.27	2.348
919.32	2.306
919.37	2.259
919.42	2.223
919.47	2.196
919.52	2.192
919.57	2.203
919.62	2.221
919.67	2.249
919.72	2.247
919.77	2.257
919.82	2.249
919.87	2.228
919.92	2.235
919.97	2.229
920.02	2.228
920.07	2.236
920.12	2.251
920.17	2.271
920.22	2.28
920.27	2.288
920.32	2.297
920.37	2.304
920.42	2.303
920.47	2.295
920.52	2.282
920.57	2.263
920.62	2.247
920.67	2.237
920.72	2.232
920.77	2.234
920.82	2.24
920.87	2.247
920.92	2.252
920.97	2.25
921.02	2.246
921.07	2.238
921.12	2.222
921.17	2.2
921.22	2.168
921.27	2.131
921.32	2.095
921.37	2.069
921.42	2.052
921.47	2.047
921.52	2.049
921.57	2.062
921.62	2.078
921.67	2.09
921.72	2.106
921.77	2.13
921.82	2.158
921.87	2.177
921.92	2.203
921.97	2.208
922.02	2.196
922.07	2.167
922.12	2.152
922.17	2.123
922.22	2.097
922.27	2.076
922.32	2.07
922.37	2.08
922.42	2.086
922.47	2.092
922.52	2.1
922.57	2.11
922.62	2.133
922.67	2.161
922.72	2.186
922.77	2.212
922.82	2.228
922.87	2.243
922.92	2.237
922.97	2.25
923.02	2.237
923.07	2.216
923.12	2.188
923.17	2.167
923.22	2.146
923.27	2.13
923.32	2.123
923.37	2.124
923.42	2.13
923.47	2.14
923.52	2.156
923.57	2.18
923.62	2.202
923.67	2.214
923.72	2.2
923.77	2.173
923.82	2.132
923.87	2.096
923.92	2.072
923.97	2.059
924.02	2.066
924.07	2.094
924.12	2.18
924.17	2.202
924.22	2.213
924.27	2.212
924.32	2.207
924.37	2.203
924.42	2.194
924.47	2.184
924.52	2.168
924.57	2.148
924.62	2.126
924.67	2.101
924.72	2.087
924.77	2.074
924.82	2.069
924.87	2.062
924.92	2.054
924.97	2.057
925.02	2.062
925.07	2.076
925.12	2.094
925.17	2.107
925.22	2.118
925.27	2.123
925.32	2.133
925.37	2.137
925.42	2.137
925.47	2.13
925.52	2.116
925.57	2.106
925.62	2.098
925.67	2.101
925.72	2.116
925.77	2.129
925.82	2.147
925.87	2.166
925.92	2.188
925.97	2.207
926.02	2.249
926.07	2.284
926.12	2.288
926.17	2.265
926.22	2.229
926.27	2.173
926.32	2.117
926.37	2.068
926.42	2.028
926.47	2
926.52	1.99
926.57	1.991
926.62	2.001
926.67	2.009
926.72	2.014
926.77	2.019
926.82	2.016
926.87	2.018
926.92	2.021
926.97	2.035
927.02	2.052
927.07	2.081
927.12	2.113
927.17	2.15
927.22	2.189
927.27	2.226
927.32	2.237
927.37	2.257
927.42	2.263
927.47	2.269
927.52	2.284
927.57	2.275
927.62	2.267
927.67	2.266
927.72	2.273
927.77	2.284
927.82	2.301
927.87	2.307
927.92	2.312
927.97	2.318
928.02	2.321
928.07	2.325
928.12	2.316
928.17	2.314
928.22	2.319
928.27	2.336
928.32	2.333
928.37	2.341
928.42	2.341
928.47	2.322
928.52	2.293
928.57	2.284
928.62	2.262
928.67	2.255
928.72	2.258
928.77	2.266
928.82	2.261
928.87	2.279
928.92	2.3
928.97	2.325
929.02	2.336
929.07	2.34
929.12	2.332
929.17	2.329
929.22	2.321
929.27	2.306
929.32	2.272
929.37	2.244
929.42	2.202
929.47	2.162
929.52	2.138
929.57	2.13
929.62	2.138
929.67	2.148
929.72	2.156
929.77	2.167
929.82	2.177
929.87	2.201
929.92	2.211
929.97	2.249
930.02	2.297
930.07	2.345
930.12	2.394
930.17	2.419
930.22	2.408
930.27	2.371
930.32	2.327
930.37	2.284
930.42	2.264
930.47	2.273
930.52	2.27
930.57	2.275
930.62	2.281
930.67	2.291
930.72	2.3
930.77	2.304
930.82	2.298
930.87	2.279
930.92	2.278
930.97	2.28
931.02	2.278
931.07	2.273
931.12	2.268
931.17	2.256
931.22	2.248
931.27	2.245
931.32	2.255
931.37	2.274
931.42	2.292
931.47	2.307
931.52	2.312
931.57	2.312
931.62	2.304
931.67	2.29
931.72	2.283
931.77	2.277
931.82	2.288
931.87	2.295
931.92	2.287
931.97	2.275
932.02	2.272
932.07	2.261
932.12	2.254
932.17	2.249
932.22	2.251
932.27	2.253
932.32	2.26
932.37	2.28
932.42	2.299
932.47	2.309
932.52	2.303
932.57	2.292
932.62	2.277
932.67	2.275
932.72	2.287
932.77	2.304
932.82	2.322
932.87	2.338
932.92	2.344
932.97	2.34
933.02	2.318
933.07	2.287
933.12	2.26
933.17	2.238
933.22	2.224
933.27	2.217
933.32	2.219
933.37	2.231
933.42	2.248
933.47	2.268
933.52	2.283
933.57	2.287
933.62	2.305
933.67	2.326
933.72	2.335
933.77	2.327
933.82	2.308
933.87	2.282
933.92	2.265
933.97	2.263
934.02	2.265
934.07	2.263
934.12	2.252
934.17	2.238
934.22	2.223
934.27	2.219
934.32	2.226
934.37	2.232
934.42	2.242
934.47	2.239
934.52	2.243
934.57	2.251
934.62	2.275
934.67	2.302
934.72	2.326
934.77	2.328
934.82	2.3
934.87	2.25
934.92	2.205
934.97	2.17
935.02	2.161
935.07	2.163
935.12	2.174
935.17	2.176
935.22	2.177
935.27	2.176
935.32	2.177
935.37	2.189
935.42	2.204
935.47	2.209
935.52	2.204
935.57	2.189
935.62	2.174
935.67	2.167
935.72	2.182
935.77	2.217
935.82	2.251
935.87	2.278
935.92	2.29
935.97	2.282
936.02	2.298
936.07	2.296
936.12	2.306
936.17	2.322
936.22	2.338
936.27	2.348
936.32	2.345
936.37	2.339
936.42	2.328
936.47	2.32
936.52	2.316
936.57	2.318
936.62	2.324
936.67	2.331
936.72	2.335
936.77	2.332
936.82	2.318
936.87	2.299
936.92	2.282
936.97	2.271
937.02	2.264
937.07	2.264
937.12	2.26
937.17	2.254
937.22	2.238
937.27	2.212
937.32	2.189
937.37	2.162
937.42	2.139
937.47	2.119
937.52	2.105
937.57	2.099
937.62	2.102
937.67	2.112
937.72	2.134
937.77	2.163
937.82	2.191
937.87	2.217
937.92	2.221
937.97	2.248
938.02	2.27
938.07	2.293
938.12	2.306
938.17	2.316
938.22	2.325
938.27	2.345
938.32	2.365
938.37	2.395
938.42	2.415
938.47	2.439
938.52	2.458
938.57	2.481
938.62	2.497
938.67	2.508
938.72	2.516
938.77	2.515
938.82	2.496
938.87	2.469
938.92	2.44
938.97	2.417
939.02	2.401
939.07	2.389
939.12	2.374
939.17	2.366
939.22	2.357
939.27	2.354
939.32	2.355
939.37	2.352
939.42	2.355
939.47	2.353
939.52	2.354
939.57	2.347
939.62	2.344
939.67	2.336
939.72	2.325
939.77	2.315
939.82	2.302
939.87	2.289
939.92	2.281
939.97	2.269
940.02	2.253
940.07	2.244
940.12	2.237
940.17	2.239
940.22	2.238
940.27	2.226
940.32	2.206
940.37	2.187
940.42	2.17
940.47	2.162
940.52	2.155
940.57	2.146
940.62	2.142
940.67	2.148
940.72	2.153
940.77	2.164
940.82	2.17
940.87	2.173
940.92	2.167
940.97	2.158
941.02	2.139
941.07	2.118
941.12	2.096
941.17	2.084
941.22	2.083
941.27	2.092
941.32	2.114
941.37	2.13
941.42	2.146
941.47	2.154
941.52	2.155
941.57	2.153
941.62	2.141
941.67	2.133
941.72	2.128
941.77	2.13
941.82	2.131
941.87	2.134
941.92	2.137
941.97	2.141
942.02	2.142
942.07	2.141
942.12	2.14
942.17	2.138
942.22	2.149
942.27	2.157
942.32	2.16
942.37	2.158
942.42	2.15
942.47	2.144
942.52	2.134
942.57	2.129
942.62	2.118
942.67	2.102
942.72	2.075
942.77	2.053
942.82	2.035
942.87	2.027
942.92	2.034
942.97	2.052
943.02	2.072
943.07	2.089
943.12	2.099
943.17	2.097
943.22	2.094
943.27	2.099
943.32	2.116
943.37	2.148
943.42	2.184
943.47	2.222
943.52	2.254
943.57	2.276
943.62	2.297
943.67	2.328
943.72	2.326
943.77	2.31
943.82	2.265
943.87	2.222
943.92	2.167
943.97	2.119
944.02	2.083
944.07	2.057
944.12	2.045
944.17	2.041
944.22	2.04
944.27	2.044
944.32	2.049
944.37	2.067
944.42	2.101
944.47	2.125
944.52	2.168
944.57	2.199
944.62	2.219
944.67	2.242
944.72	2.265
944.77	2.293
944.82	2.297
944.87	2.29
944.92	2.261
944.97	2.24
945.02	2.192
945.07	2.15
945.12	2.119
945.17	2.103
945.22	2.101
945.27	2.108
945.32	2.115
945.37	2.121
945.42	2.126
945.47	2.134
945.52	2.147
945.57	2.161
945.62	2.179
945.67	2.196
945.72	2.212
945.77	2.221
945.82	2.234
945.87	2.243
945.92	2.248
945.97	2.258
946.02	2.27
946.07	2.271
946.12	2.293
946.17	2.309
946.22	2.319
946.27	2.31
946.32	2.285
946.37	2.26
946.42	2.219
946.47	2.18
946.52	2.159
946.57	2.15
946.62	2.149
946.67	2.15
946.72	2.143
946.77	2.127
946.82	2.097
946.87	2.061
946.92	2.029
946.97	2.015
947.02	2.011
947.07	2.015
947.12	2.023
947.17	2.031
947.22	2.043
947.27	2.077
947.32	2.121
947.37	2.173
947.42	2.201
947.47	2.234
947.52	2.251
947.57	2.255
947.62	2.269
947.67	2.279
947.72	2.295
947.77	2.308
947.82	2.313
947.87	2.308
947.92	2.292
947.97	2.278
948.02	2.29
948.07	2.282
948.12	2.296
948.17	2.311
948.22	2.339
948.27	2.351
948.32	2.374
948.37	2.399
948.42	2.418
948.47	2.419
948.52	2.419
948.57	2.423
948.62	2.419
948.67	2.427
948.72	2.415
948.77	2.385
948.82	2.368
948.87	2.343
948.92	2.327
948.97	2.306
949.02	2.287
949.07	2.264
949.12	2.246
949.17	2.236
949.22	2.23
949.27	2.229
949.32	2.234
949.37	2.234
949.42	2.224
949.47	2.227
949.52	2.256
949.57	2.277
949.62	2.308
949.67	2.342
949.72	2.365
949.77	2.398
949.82	2.412
949.87	2.411
949.92	2.399
949.97	2.381
950.02	2.365
950.07	2.341
950.12	2.319
950.17	2.313
950.22	2.328
950.27	2.359
950.32	2.387
950.37	2.391
950.42	2.372
950.47	2.363
950.52	2.353
950.57	2.354
950.62	2.35
950.67	2.36
950.72	2.37
950.77	2.363
950.82	2.37
950.87	2.361
950.92	2.352
950.97	2.342
951.02	2.321
951.07	2.303
951.12	2.282
951.17	2.271
951.22	2.26
951.27	2.249
951.32	2.231
951.37	2.221
951.42	2.222
951.47	2.234
951.52	2.251
951.57	2.269
951.62	2.281
951.67	2.301
951.72	2.325
951.77	2.357
951.82	2.371
951.87	2.385
951.92	2.39
951.97	2.379
952.02	2.369
952.07	2.355
952.12	2.35
952.17	2.34
952.22	2.361
952.27	2.366
952.32	2.37
952.37	2.373
952.42	2.367
952.47	2.359
952.52	2.349
952.57	2.349
952.62	2.353
952.67	2.362
952.72	2.372
952.77	2.376
952.82	2.373
952.87	2.355
952.92	2.348
952.97	2.331
953.02	2.304
953.07	2.297
953.12	2.291
953.17	2.301
953.22	2.325
953.27	2.344
953.32	2.351
953.37	2.346
953.42	2.335
953.47	2.318
953.52	2.311
953.57	2.308
953.62	2.31
953.67	2.316
953.72	2.318
953.77	2.32
953.82	2.331
953.87	2.34
953.92	2.354
953.97	2.368
954.02	2.376
954.07	2.383
954.12	2.377
954.17	2.371
954.22	2.37
954.27	2.37
954.32	2.371
954.37	2.363
954.42	2.337
954.47	2.311
954.52	2.287
954.57	2.279
954.62	2.271
954.67	2.265
954.72	2.253
954.77	2.25
954.82	2.252
954.87	2.257
954.92	2.261
954.97	2.263
955.02	2.264
955.07	2.275
955.12	2.291
955.17	2.31
955.22	2.324
955.27	2.325
955.32	2.319
955.37	2.313
955.42	2.312
955.47	2.314
955.52	2.314
955.57	2.302
955.62	2.303
955.67	2.302
955.72	2.297
955.77	2.298
955.82	2.281
955.87	2.259
955.92	2.245
955.97	2.237
956.02	2.238
956.07	2.254
956.12	2.277
956.17	2.297
956.22	2.312
956.27	2.32
956.32	2.328
956.37	2.343
956.42	2.358
956.47	2.377
956.52	2.389
956.57	2.39
956.62	2.369
956.67	2.361
956.72	2.349
956.77	2.335
956.82	2.311
956.87	2.289
956.92	2.289
956.97	2.282
957.02	2.275
957.07	2.267
957.12	2.258
957.17	2.236
957.22	2.213
957.27	2.184
957.32	2.157
957.37	2.133
957.42	2.129
957.47	2.127
957.52	2.132
957.57	2.128
957.62	2.128
957.67	2.127
957.72	2.139
957.77	2.148
957.82	2.15
957.87	2.144
957.92	2.131
957.97	2.115
958.02	2.088
958.07	2.059
958.12	2.03
958.17	2.019
958.22	2.024
958.27	2.041
958.32	2.069
958.37	2.095
958.42	2.116
958.47	2.138
958.52	2.158
958.57	2.174
958.62	2.185
958.67	2.196
958.72	2.205
958.77	2.219
958.82	2.24
958.87	2.263
958.92	2.268
958.97	2.281
959.02	2.289
959.07	2.292
959.12	2.289
959.17	2.295
959.22	2.281
959.27	2.243
959.32	2.212
959.37	2.163
959.42	2.127
959.47	2.11
959.52	2.115
959.57	2.142
959.62	2.179
959.67	2.222
959.72	2.246
959.77	2.275
959.82	2.291
959.87	2.296
959.92	2.307
959.97	2.298
960.02	2.294
960.07	2.288
960.12	2.29
960.17	2.294
960.22	2.295
960.27	2.302
960.32	2.299
960.37	2.295
960.42	2.284
960.47	2.273
960.52	2.263
960.57	2.242
960.62	2.25
960.67	2.248
960.72	2.246
960.77	2.253
960.82	2.267
960.87	2.29
960.92	2.312
960.97	2.328
961.02	2.335
961.07	2.33
961.12	2.322
961.17	2.329
961.22	2.339
961.27	2.361
961.32	2.381
961.37	2.398
961.42	2.409
961.47	2.41
961.52	2.408
961.57	2.404
961.62	2.401
961.67	2.399
961.72	2.396
961.77	2.388
961.82	2.381
961.87	2.381
961.92	2.382
961.97	2.389
962.02	2.388
962.07	2.378
962.12	2.363
962.17	2.353
962.22	2.353
962.27	2.359
962.32	2.368
962.37	2.37
962.42	2.357
962.47	2.353
962.52	2.337
962.57	2.337
962.62	2.321
962.67	2.313
962.72	2.318
962.77	2.332
962.82	2.344
962.87	2.357
962.92	2.368
962.97	2.378
963.02	2.389
963.07	2.391
963.12	2.384
963.17	2.374
963.22	2.363
963.27	2.357
963.32	2.348
963.37	2.339
963.42	2.324
963.47	2.308
963.52	2.297
963.57	2.281
963.62	2.272
963.67	2.27
963.72	2.274
963.77	2.283
963.82	2.266
963.87	2.275
963.92	2.26
963.97	2.244
964.02	2.224
964.07	2.21
964.12	2.204
964.17	2.208
964.22	2.22
964.27	2.232
964.32	2.238
964.37	2.233
964.42	2.229
964.47	2.228
964.52	2.227
964.57	2.229
964.62	2.233
964.67	2.228
964.72	2.245
964.77	2.259
964.82	2.268
964.87	2.273
964.92	2.287
964.97	2.317
965.02	2.327
965.07	2.335
965.12	2.332
965.17	2.332
965.22	2.332
965.27	2.338
965.32	2.345
965.37	2.35
965.42	2.351
965.47	2.345
965.52	2.333
965.57	2.312
965.62	2.289
965.67	2.265
965.72	2.248
965.77	2.243
965.82	2.249
965.87	2.257
965.92	2.257
965.97	2.257
966.02	2.257
966.07	2.264
966.12	2.274
966.17	2.263
966.22	2.264
966.27	2.252
966.32	2.229
966.37	2.222
966.42	2.206
966.47	2.192
966.52	2.189
966.57	2.191
966.62	2.2
966.67	2.213
966.72	2.227
966.77	2.243
966.82	2.257
966.87	2.268
966.92	2.269
966.97	2.274
967.02	2.277
967.07	2.28
967.12	2.283
967.17	2.283
967.22	2.292
967.27	2.314
967.32	2.343
967.37	2.379
967.42	2.411
967.47	2.421
967.52	2.415
967.57	2.385
967.62	2.349
967.67	2.31
967.72	2.276
967.77	2.254
967.82	2.235
967.87	2.221
967.92	2.206
967.97	2.201
968.02	2.213
968.07	2.234
968.12	2.259
968.17	2.271
968.22	2.27
968.27	2.264
968.32	2.256
968.37	2.256
968.42	2.255
968.47	2.258
968.52	2.261
968.57	2.262
968.62	2.266
968.67	2.273
968.72	2.28
968.77	2.288
968.82	2.301
968.87	2.316
968.92	2.326
968.97	2.326
969.02	2.315
969.07	2.304
969.12	2.291
969.17	2.291
969.22	2.296
969.27	2.306
969.32	2.307
969.37	2.293
969.42	2.269
969.47	2.242
969.52	2.22
969.57	2.209
969.62	2.207
969.67	2.205
